營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#L28702#管線遷移工程#2017/10/18 10:00~17:00#無#宜縣冬山鄉成興路#1911#
台電宜蘭區營業處#L28702#管線遷移工程#2017/10/18 10:00~17:00#無#宜縣冬山鄉#1911#
台電宜蘭區營業處#L38711#管線遷移工程#2017/10/20 13:00~17:00#無#宜縣宜蘭市七張里#1911#
台電宜蘭區營業處#H26906#管線遷移工程#2017/10/21 08:00~12:00#無#宜縣羅東鎮復興路#1911#
台電宜蘭區營業處#H26906#管線遷移工程#2017/10/21 08:00~12:00#無#宜縣羅東鎮復興路三段#1911#
台電宜蘭區營業處#H26852#管線遷移工程#2017/10/21 13:00~16:00#無#宜縣冬山鄉楓橋路#1911#
台電宜蘭區營業處#H26852#管線遷移工程#2017/10/21 13:00~16:00#無#宜縣冬山鄉太和路#1911#
台電宜蘭區營業處#L28718#管線遷移工程#2017/10/23 09:00~12:00#無#宜縣冬山鄉#1911#
台電宜蘭區營業處#L38712#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣頭城鎮大坑路#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉境安路#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉境安二路#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉境安一路#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉柯林路#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉柯林村#1911#
台電宜蘭區營業處#H26912#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣冬山鄉光華六路#1911#
台電宜蘭區營業處#L38712#管線遷移工程#2017/10/23 13:00~17:00#無#宜縣頭城鎮協天路#1911#
台電宜蘭區營業處#L28713#管線遷移工程#2017/10/24 09:00~12:00#無#宜縣五結鄉五結路二段#1911#
台電宜蘭區營業處#L28714#管線遷移工程#2017/10/24 13:00~17:00#無#宜縣冬山鄉照安路#1911#
台電宜蘭區營業處#H36911#管線遷移工程#2017/10/25 13:00~17:00#無#宜縣壯圍鄉大福路二段#1911#
